id,Response
381110,0.0024705038471110963
381111,0.7605924992651842
381112,0.7446337924595856
381113,0.09099143253423908
381114,0.001721005413855441
381115,0.0021020165385242503
381116,0.004412749939312255
381117,0.0018792125951567283
381118,0.8032274381706616
381119,0.010402683988466051
381120,0.008480002631810462
381121,0.6029973827638411
381122,0.003956444953330475
381123,0.7869336727777554
381124,0.5850475131958331
381125,0.0032813724592791103
381126,0.5611361023219168
381127,0.7479604299381901
381128,0.002060547319390563
381129,0.0026142793534068916
381130,0.001560860795272049
381131,0.003201705896659024
381132,0.29128160862759656
381133,0.748574193904725
381134,0.6237577371211525
381135,0.0017837063367615532
381136,0.0012936218189787776
381137,0.006359355802256501
381138,0.006271745396944762
381139,0.0016294551330055275
381140,0.4453908320026686
381141,0.0010305935475257062
381142,0.0012884888763823425
381143,0.0025754909111955155
381144,0.4941802986963742
381145,0.7838347175311479
381146,0.0011056534092094604
381147,0.17559329208617483
381148,0.00281070826191429
381149,0.004522940403892634
381150,0.7521013192553198
381151,0.7936389662588986
381152,0.00367083741353518
381153,0.7185776977611417
381154,0.7988035970186853
381155,0.7966140777158558
381156,0.0005102728943993002
381157,0.10860929761480409
381158,0.7594317630649468
381159,0.5370027900839609
381160,0.7454255946565805
381161,0.04899706515392738
381162,0.0014492650942993656
381163,0.7567112707780301
381164,0.00247873322325338
381165,0.48894561282411403
381166,0.6427435857416779
381167,0.0015344781671922394
381168,0.002524053976413649
381169,0.19202283526747976
381170,0.002647776897578674
381171,0.0016419069424989888
381172,0.8079676838376472
381173,0.4424636082905016
381174,0.0014811909920427525
381175,0.002133310366190696
381176,0.005283313972305409
381177,0.7628800547225262
381178,0.6098954335099546
381179,0.0017086076802235672
381180,0.09596257943810813
381181,0.0023283065230802107
381182,0.6663544026654542
381183,0.0024927056218015135
381184,0.043697005174152946
381185,0.0016743524001742321
381186,0.8148412854529115
381187,0.8508525454931553
381188,0.6580437847292349
381189,0.36454964699720965
381190,0.005694394903515904
381191,0.6067052060795682
381192,0.22670142809696822
381193,0.025908174794618793
381194,0.661656822407472
381195,0.3014405160876782
381196,0.002005351134295801
381197,0.1817450000809277
381198,0.5165224725033721
381199,0.8592854678294815
381200,0.0025011895198698507
381201,0.007260811017255564
381202,0.7648180037572738
381203,0.8895804715993003
381204,0.4232127579393009
381205,0.0011601789310046787
381206,0.3149218168492394
381207,0.0017161433333942697
381208,0.12715909187254093
381209,0.0005345379064054037
381210,0.5996172187713953
381211,0.0005810522769289372
381212,0.7783674526304412
381213,0.7229666570860649
381214,0.5604050481317893
381215,0.23882644808412995
381216,0.285205309595662
381217,0.001008033814358949
381218,0.7644737354237535
381219,0.6062905747502882
381220,0.010578980696987653
381221,0.7363772144421978
381222,0.001698788419873081
381223,0.0036418864701764065
381224,0.34901167984429565
381225,0.8428734678570571
381226,0.7490063306531913
381227,0.7759547179788433
381228,0.1647956275739902
381229,0.6692965953038362
381230,0.0016335628113550952
381231,0.001774614539549145
381232,0.7842630982446589
381233,0.0034173969804485145
381234,0.7545014641429095
381235,0.0026091515080948653
381236,0.5058548427578875
381237,0.001849952051745278
